template({context: `{content} - T {toxic_rate}, IT {insult_rate}, TH {threat_rate}, RC {racist_rate}, SEX {sexual_rate}`});
pasti lagu jepang - T 11, IT 18, TH 0, RC 5, SEX 13
lah kata siapa lagu juga - T 1, IT 0, TH 0, RC 0, SEX 2
manatau kan belum ngecek - T 3, IT 4, TH 0, RC 5, SEX 2
liat dulu makanya gblk - T 0, IT 0, TH 0, RC 3, SEX 3
dominique coba - T 23, IT 11, TH 0, RC 11, SEX 14
ga punya ig - T 5, IT 42, TH 3, RC 6, SEX 0
omw - T 7, IT 7, TH 0, RC 6, SEX 12
ada tidak - T 0, IT 0, TH 0, RC 1, SEX 0
 alhamdulilah ada lort - T 0, IT 0, TH 0, RC 1, SEX 0
kece gak tuh - T 1, IT 3, TH 0, RC 1, SEX 1
keren - T 5, IT 3, TH 0, RC 7, SEX 19
lagu firal santuy - T 9, IT 8, TH 0, RC 6, SEX 14
tru koplo viral santuy - T 4, IT 0, TH 2, RC 0, SEX 1
ngenjir - T 30, IT 14, TH 0, RC 12, SEX 35
ngentoff - T 30, IT 14, TH 0, RC 12, SEX 35
hadeh - T 0, IT 1, TH 0, RC 1, SEX 0
sepi gini - T 0, IT 1, TH 0, RC 2, SEX 2
konsol - T 30, IT 14, TH 0, RC 12, SEX 35
cuba kamu daget, pasti agak ramean - T 70, IT 44, TH 26, RC 39, SEX 1
se7 - T 30, IT 14, TH 0, RC 12, SEX 35
nyuruh orang daget, tapi sendirinya telat - T 92, IT 1, TH 0, RC 12, SEX 2
momen - T 30, IT 14, TH 0, RC 12, SEX 35
sehat - T 30, IT 14, TH 0, RC 12, SEX 35
siapa disini - T 55, IT 2, TH 0, RC 7, SEX 38
"telat sumpah" - T 30, IT 14, TH 0, RC 12, SEX 35
siapa tuh - T 15, IT 0, TH 0, RC 2, SEX 9
tengs - T 30, IT 14, TH 0, RC 12, SEX 35
ane sih always "tengs mintz" - T 2, IT 11, TH 0, RC 0, SEX 7
hadeh telat 7x - T 0, IT 0, TH 0, RC 1, SEX 0
sebat - T 30, IT 14, TH 0, RC 12, SEX 35
kontrol - T 30, IT 14, TH 0, RC 12, SEX 35
hai - T 4, IT 8, TH 0, RC 3, SEX 15
konsol - T 30, IT 14, TH 0, RC 12, SEX 35
reseller lawak sumpah hari sebelumnya dia bilang sudah di bawa kurir tdi aku chat lagi dong dan aku ss kalo barang belum di kirim masih di kemas ehh 2jam kemudian ada notif barang baru dikirim - T 0, IT 0, TH 0, RC 0, SEX 0
pepega - T 30, IT 14, TH 0, RC 12, SEX 35
gak tau dah kalo gak aku chat ini barang nyampenya kapan - T 0, IT 0, TH 0, RC 7, SEX 0
memega - T 30, IT 14, TH 0, RC 12, SEX 35
sontol - T 30, IT 14, TH 0, RC 12, SEX 35
emang kadang konfirmasi di shopeenya telat ngab  - T 0, IT 0, TH 0, RC 1, SEX 0
siapa gamers - T 42, IT 2, TH 0, RC 3, SEX 40
engga emang dia baru kirim tadi - T 0, IT 0, TH 0, RC 1, SEX 0
aku cek resinya - T 5, IT 2, TH 0, RC 2, SEX 5
mana gamer - T 2, IT 1, TH 0, RC 3, SEX 1
kok ga ada gamer - T 0, IT 0, TH 0, RC 0, SEX 0
momen - T 30, IT 14, TH 0, RC 12, SEX 35
halo benis - T 30, IT 14, TH 0, RC 12, SEX 35
saya - T 4, IT 2, TH 0, RC 4, SEX 43
hai pikir - T 4, IT 8, TH 0, RC 3, SEX 15
udh ragu make shopee sekarang - T 4, IT 5, TH 0, RC 9, SEX 10
beralih ke tokopedia - T 5, IT 2, TH 0, RC 3, SEX 1
tes - T 30, IT 14, TH 0, RC 12, SEX 35
tis - T 30, IT 14, TH 0, RC 12, SEX 35
sekarang - T 30, IT 14, TH 0, RC 12, SEX 35
knaffa a - T 13, IT 9, TH 0, RC 12, SEX 19
masuk iya sih kadang seller shopee kek seenaknya gitu - T 0, IT 20, TH 0, RC 0, SEX 0
shoppe ga jual mobil? - T 0, IT 23, TH 0, RC 5, SEX 1
ane takutnya paketnya ilang,harganya lumayan buat kantong aku - T 6, IT 4, TH 0, RC 0, SEX 0
shopee kudu pinter mulu seller - T 56, IT 48, TH 1, RC 33, SEX 21
ini reseller nya udah star+ aja masih kek gini - T 1, IT 94, TH 0, RC 0, SEX 0
gratis ongkir di shopee sekarang ribetharus claim voucher lahtop up shopee pay lahbeda sama tokopedia - T 1, IT 0, TH 0, RC 0, SEX 0
info dari seller shopee sendiri - T 1, IT 0, TH 0, RC 0, SEX 0
maka dari itu - T 3, IT 2, TH 0, RC 1, SEX 4
kalo dah star seller tuh makin kek gimana gitu - T 0, IT 0, TH 0, RC 0, SEX 0
bener - T 1, IT 1, TH 0, RC 2, SEX 1
beda kalo ngejar badge star seller - T 2, IT 0, TH 0, RC 1, SEX 3
akutakueakusakutaku - T 30, IT 14, TH 0, RC 12, SEX 35
duh makin was was aja ane make shopee - T 0, IT 33, TH 0, RC 6, SEX 0
respon pihak shoprenya lambatkadang seller yg selalu benar - T 0, IT 0, TH 0, RC 0, SEX 0
akugakuiakumakuaakunakuaaku - T 30, IT 14, TH 0, RC 12, SEX 35
emangnya abis kejadian apa bang - T 0, IT 0, TH 0, RC 0, SEX 0
ini aku omw ngasih bintang 2/3 - T 1, IT 1, TH 0, RC 0, SEX 0
scrool atas - T 30, IT 14, TH 0, RC 12, SEX 35
kalau saya sih cuma waktu pengiriman doang masalahnya dulu - T 0, IT 4, TH 0, RC 0, SEX 1
yg katanya gak seminggu sampe malah 3 minggu baru sampe - T 0, IT 0, TH 0, RC 0, SEX 0
baru kali ini ane dapet reseller kayak gini - T 0, IT 0, TH 0, RC 0, SEX 0
akulakuaakuhaku akukakuoakukaku akujakuaakudakuiaku akugakuiakunakuiaku - T 30, IT 14, TH 0, RC 12, SEX 35
ke tokped aja - T 0, IT 7, TH 0, RC 4, SEX 0
ane user ke pasar langsung - T 1, IT 0, TH 0, RC 1, SEX 1
kalo bukan dia doang yang jual ogah ane belanja ke ini reseller - T 0, IT 0, TH 0, RC 0, SEX 0
oalah - T 5, IT 2, TH 0, RC 2, SEX 10
aku pernah beli joystick di shopee seharga 70 aneh yg dateng malah gamepad seharga 10 an - T 0, IT 0, TH 0, RC 0, SEX 0
omw beralih tokped - T 7, IT 7, TH 0, RC 6, SEX 12
mana pas ngajuin pengembalian si seller ga respon - T 0, IT 0, TH 0, RC 0, SEX 0
aku nyangkut - T 5, IT 2, TH 0, RC 2, SEX 5
kontoooooooool - T 30, IT 14, TH 0, RC 12, SEX 35
report mat - T 30, IT 14, TH 0, RC 12, SEX 35
cs shopee malah nyuruh ngajuin pengembalian ke seller - T 0, IT 0, TH 0, RC 0, SEX 0
dah aku report + block - T 0, IT 0, TH 0, RC 1, SEX 0
kamu lihat aja fp e-commerce shitposting, kebanyakan masalahnya di shopee, dan seller yg selalu di untungkan - T 0, IT 7, TH 2, RC 0, SEX 0
/report - T 30, IT 14, TH 0, RC 12, SEX 35
apex+valorant versi hp? - T 5, IT 8, TH 0, RC 11, SEX 14
/report min seller shopee scam /q pas transaksi - T 2, IT 2, TH 0, RC 2, SEX 2
apex ?  - T 19, IT 6, TH 5, RC 8, SEX 2
sebutkan id, silahkan report forum - T 30, IT 14, TH 0, RC 12, SEX 35
duh anjir makin was was aja aku belanja di shopee - T 0, IT 6, TH 0, RC 1, SEX 0
anjing banget - T 9, IT 0, TH 0, RC 3, SEX 7
 jah belum bisa di download euy - T 1, IT 0, TH 0, RC 0, SEX 0
kato udah bisa belom - T 38, IT 1, TH 0, RC 6, SEX 20
belom bang - T 0, IT 0, TH 0, RC 1, SEX 3
omw pindah tokped - T 7, IT 7, TH 0, RC 6, SEX 12
nanti tunggu taun baru - T 67, IT 50, TH 1, RC 7, SEX 76
baru bisa kato - T 19, IT 1, TH 0, RC 4, SEX 5
baru make kemaren aku dapet potongan 20k mayan - T 0, IT 1, TH 0, RC 1, SEX 1
tapi kalo udah sama kurir gapapa sih - T 1, IT 2, TH 0, RC 0, SEX 1
ane mau sabung nggak jadi - T 8, IT 1, TH 0, RC 6, SEX 11
lama amat nunggu tahun baru - T 1, IT 32, TH 1, RC 0, SEX 1
bentar lg juga - T 46, IT 19, TH 0, RC 2, SEX 47
masalahnya ane merasa di boongin - T 16, IT 2, TH 0, RC 3, SEX 10
ga terasa 2 minggu lagi udh tahun baru - T 0, IT 6, TH 0, RC 1, SEX 0
udah mengaharap cepet biar bisa nonton tv lagi malah boong dia - T 0, IT 0, TH 0, RC 0, SEX 0
hadeh - T 0, IT 1, TH 0, RC 1, SEX 0
kontooooooooooooooool - T 30, IT 14, TH 0, RC 12, SEX 35
baru dikemas tapi bilangnya udah dikirim ya? - T 22, IT 12, TH 0, RC 9, SEX 2
begitu banyak kesan yg indah ditahun ini - T 16, IT 19, TH 0, RC 1, SEX 1
aku kalo soal pengiriman barang, aku tungguin sih jarang chat ke sellernya - T 0, IT 0, TH 0, RC 0, SEX 2
kemarin ane lihat di fb ada kurir dari bandung ke daerah jawa(lupa sih tempatnya) malah mampir ke lampung dulu - T 0, IT 0, TH 0, RC 0, SEX 0
kadang sellernya sibuk juga makanya bilang iya iya doang - T 1, IT 55, TH 0, RC 20, SEX 0
kontoooooooooooooooooooooooooooooooooooooooooooooooooool - T 30, IT 14, TH 0, RC 12, SEX 35
memek kali kau anjing bangsat - T 100, IT 100, TH 7, RC 0, SEX 23
di lampung lebih banyak  - T 5, IT 2, TH 0, RC 2, SEX 0
aku g tau knp - T 0, IT 0, TH 0, RC 0, SEX 0
seller dah ngeset pengiriman tp blm ditaro di ekspedisi - T 0, IT 0, TH 0, RC 0, SEX 0
bukan,ane bayar hari minggu hari selasa dia billang udah diambil sama kurir trus aku chat sekarang dan ternyata baru dikirim sekarang - T 0, IT 0, TH 0, RC 0, SEX 0
kalo ane bilang dulu ke buyer dikirimnya kapan - T 1, IT 35, TH 0, RC 40, SEX 2
agus - T 30, IT 14, TH 0, RC 12, SEX 35
dari pihak kurirnya belom jalan - T 4, IT 1, TH 0, RC 0, SEX 32
joko - T 49, IT 26, TH 0, RC 10, SEX 46
(?) - T 30, IT 14, TH 0, RC 12, SEX 35
darto - T 30, IT 14, TH 0, RC 12, SEX 35
njir lama - T 0, IT 0, TH 0, RC 1, SEX 1
makanya - T 35, IT 26, TH 0, RC 29, SEX 22
ada apa - T 0, IT 0, TH 0, RC 0, SEX 1
parah ini reseller - T 58, IT 10, TH 0, RC 3, SEX 2
maklumin aja bang - T 0, IT 2, TH 0, RC 2, SEX 0
kamu kena prenk - T 8, IT 10, TH 63, RC 7, SEX 0
mana ngibul lagi ini reseller - T 3, IT 4, TH 0, RC 0, SEX 0
gegara event 12.12 seller jadi kewalahan - T 18, IT 1, TH 0, RC 12, SEX 9
bro info udh ikutin im not robot masih balik lagi - T 68, IT 5, TH 3, RC 3, SEX 5
njir - T 0, IT 0, TH 0, RC 1, SEX 1
bapak ane nanya mulu paket kapan dateng sampe aku pusing - T 0, IT 52, TH 0, RC 29, SEX 9
beli apa emang - T 1, IT 0, TH 0, RC 2, SEX 7
waduh - T 30, IT 14, TH 0, RC 12, SEX 35
level berapa ngirim gambar - T 1, IT 24, TH 0, RC 0, SEX 0
jiah sama kek ibu aku - T 36, IT 68, TH 0, RC 0, SEX 1
@danndee#5914 5 - T 25, IT 10, TH 0, RC 12, SEX 31
njir - T 0, IT 0, TH 0, RC 1, SEX 1
level 5 - T 32, IT 14, TH 0, RC 6, SEX 25
kamu anak ptr? - T 45, IT 15, TH 6, RC 21, SEX 0
level 5 bro - T 94, IT 73, TH 0, RC 34, SEX 48
toko dia gk kena 12.12 orang toko tv,ntah sibuk ngapain ini toko coli kalinya - T 73, IT 0, TH 1, RC 0, SEX 10
kalo elektronik lebih ke tokped sih ane - T 0, IT 1, TH 0, RC 0, SEX 0
owh - T 30, IT 14, TH 0, RC 12, SEX 35
gambar apa nih - T 27, IT 0, TH 1, RC 0, SEX 6
loli ada ga - T 0, IT 0, TH 0, RC 1, SEX 4
padahal aku mau kirim poto ijul - T 0, IT 0, TH 0, RC 0, SEX 0
ealah tv - T 30, IT 14, TH 0, RC 12, SEX 35
barang elektronik tokopedia/bukalapak - T 30, IT 14, TH 0, RC 12, SEX 35
iya - T 17, IT 4, TH 0, RC 6, SEX 2
ane hari minggu belum instal tokped - T 0, IT 0, TH 0, RC 0, SEX 0
bukalapak 👎 - T 30, IT 14, TH 0, RC 12, SEX 35
jiah - T 30, IT 11, TH 0, RC 11, SEX 33
toko terdekat - T 30, IT 14, TH 0, RC 12, SEX 35
aku saranin jangan percaya lazada sih - T 0, IT 17, TH 0, RC 0, SEX 0
ngeod - T 30, IT 14, TH 0, RC 12, SEX 35
how many special people changed - T 30, IT 14, TH 0, RC 12, SEX 35
skem semua - T 6, IT 9, TH 0, RC 3, SEX 5
males banget percaya lazada - T 2, IT 0, TH 0, RC 1, SEX 5
apalagi lazadut - T 42, IT 25, TH 0, RC 9, SEX 30
lazada lelet - T 30, IT 14, TH 0, RC 12, SEX 35
dah lelet, bingungin - T 3, IT 2, TH 0, RC 5, SEX 2
cuma buat beli barang receh - T 56, IT 63, TH 0, RC 1, SEX 0
lazada barang aku 1bulan belum di proses malah kena refund - T 0, IT 0, TH 0, RC 0, SEX 0
kadang barangnya beda lagi - T 6, IT 4, TH 0, RC 1, SEX 7
soalnya bisa cod - T 2, IT 0, TH 0, RC 0, SEX 4
ini apaan cok - T 1, IT 0, TH 0, RC 0, SEX 6
naturalis : org yang makin excited kalo ngesex di alam - t 1, it 0, th 0, rc 0, sex 5 - T 2, IT 0, TH 1, RC 0, SEX 54
refund pum gk 100% - T 20, IT 5, TH 0, RC 9, SEX 31
responnya paling malesin selain shopee - T 30, IT 14, TH 0, RC 12, SEX 35
njir - T 0, IT 0, TH 0, RC 1, SEX 1
ngesex di alam  - T 12, IT 1, TH 5, RC 3, SEX 1
kata aku beli di matahari aja - T 0, IT 1, TH 0, RC 0, SEX 0
alam kubur  - T 27, IT 4, TH 4, RC 15, SEX 5
ini juga apaan bgst - T 10, IT 16, TH 0, RC 0, SEX 24
beralih untuk memakai jasa rekber agim - T 15, IT 4, TH 0, RC 7, SEX 35
[nonton anime cuman liat lolinya kalo gak adegan ngeodnya] - t 0, it 0, th 0, rc 0, sex 0 - T 0, IT 0, TH 0, RC 0, SEX 53
aku - T 5, IT 2, TH 0, RC 2, SEX 5
 stres - T 27, IT 4, TH 4, RC 15, SEX 5
anti beli di olshop - T 47, IT 1, TH 0, RC 1, SEX 9
gws - T 30, IT 14, TH 0, RC 12, SEX 35
vedo - T 30, IT 14, TH 0, RC 12, SEX 35
kecuali dibeliin 👍 - T 30, IT 14, TH 0, RC 12, SEX 35
kalo ga males jalan juga beli di toko langsung - T 0, IT 2, TH 0, RC 0, SEX 0
 info mabar tp aku mau tidur - T 0, IT 0, TH 0, RC 0, SEX 0
bro  dong yg tau - T 12, IT 0, TH 1, RC 1, SEX 1
aku manusia purba,jadi gtw - T 69, IT 82, TH 0, RC 5, SEX 31
bang ada yg punya link manga jojo part 6? - T 0, IT 0, TH 0, RC 0, SEX 0
sapa setuju like - T 2, IT 3, TH 0, RC 10, SEX 1
coba tanya di  - T 4, IT 0, TH 4, RC 1, SEX 0
aku gk setuju - T 2, IT 1, TH 0, RC 2, SEX 2
karena kamu furry - T 27, IT 63, TH 52, RC 54, SEX 0
jojo - T 30, IT 14, TH 0, RC 12, SEX 35
furry wajib tidak disetujui - T 10, IT 2, TH 0, RC 7, SEX 4
siapa pake bayu seperti istri sy - T 1, IT 0, TH 0, RC 0, SEX 0
bangun - T 30, IT 14, TH 0, RC 12, SEX 35
decul malem malem ngayal mulu - T 1, IT 3, TH 0, RC 4, SEX 2
!gws - T 30, IT 14, TH 0, RC 12, SEX 35
sonic - T 30, IT 14, TH 0, RC 12, SEX 35
!banjir - T 30, IT 14, TH 0, RC 12, SEX 35
tiktok - T 30, IT 14, TH 0, RC 12, SEX 35
k.brebes - T 30, IT 14, TH 0, RC 12, SEX 35
ferrari - T 30, IT 14, TH 0, RC 12, SEX 35
sonic nie bahaya - T 30, IT 14, TH 0, RC 12, SEX 35
!decul - T 30, IT 14, TH 0, RC 12, SEX 35
takutnya ada yg sange dengan sonic - T 1, IT 0, TH 0, RC 2, SEX 3
njir - T 0, IT 0, TH 0, RC 1, SEX 1
njir - T 0, IT 0, TH 0, RC 1, SEX 1
?afk cek jaringan ingame - T 30, IT 14, TH 0, RC 12, SEX 35
 i set your afk: cek jaringan ingame - T 27, IT 4, TH 4, RC 15, SEX 5
fb rasisme - T 30, IT 14, TH 0, RC 12, SEX 35
sy yang r - T 0, IT 0, TH 0, RC 1, SEX 0
assalamualaikum - T 30, IT 14, TH 0, RC 12, SEX 35
ini apaan bangsat - T 99, IT 27, TH 1, RC 0, SEX 7
walaikumsalam - T 30, IT 14, TH 0, RC 12, SEX 35
[masukin ke kandang kucing, siapa tau nanti tumbuh nekomimi] - t 65, it 0, th 0, rc 0, sex 34 - T 17, IT 0, TH 1, RC 0, SEX 53
bay chang - T 30, IT 14, TH 0, RC 12, SEX 35
beceng kh maksutny? - T 3, IT 3, TH 0, RC 4, SEX 7
bacang ngab - T 9, IT 12, TH 0, RC 10, SEX 20
[ini kucing hobinya pipis (nandain wilayah)] - t 37, it 21, th 0, rc 3, sex 7 - T 7, IT 0, TH 3, RC 0, SEX 75
hadeh - T 0, IT 1, TH 0, RC 1, SEX 0
sange ama kucing - T 19, IT 16, TH 0, RC 9, SEX 23
bang rosemary tuh - T 0, IT 0, TH 0, RC 1, SEX 1
eh mie ayam enak yah - T 1, IT 1, TH 0, RC 0, SEX 1
mod - T 1, IT 1, TH 0, RC 2, SEX 2
udah biasa mah disini - T 77, IT 40, TH 0, RC 18, SEX 88
itu - T 9, IT 15, TH 0, RC 19, SEX 2
enak - T 8, IT 4, TH 0, RC 0, SEX 13
, selamat, level cintamu kepada lort naik menjadi level 35!   - T 0, IT 0, TH 0, RC 0, SEX 0
kemarin pernah dia ange ama ikan yg ditepok2in - T 0, IT 3, TH 0, RC 0, SEX 1
eh mie ayam enak yah - T 0, IT 0, TH 0, RC 0, SEX 1
 mungkin ad yg mau ikut ga ny - T 0, IT 0, TH 0, RC 0, SEX 0
sepuh - T 30, IT 14, TH 0, RC 12, SEX 35
ikan ditepokin? - T 30, IT 14, TH 0, RC 12, SEX 35
[eleina lonte] - t 30, it 14, th 0, rc 12, sex 35 - T 7, IT 0, TH 3, RC 0, SEX 75
jokowi - T 30, IT 14, TH 0, RC 12, SEX 35
cantik - T 30, IT 14, TH 0, RC 12, SEX 35
joko oui - T 2, IT 2, TH 0, RC 2, SEX 1
saberpungli 2077 tidak sexual dan tidak rasis  - T 21, IT 0, TH 3, RC 3, SEX 0
 f1 mulai kapan? - T 38, IT 6, TH 3, RC 22, SEX 8
saberpungli 2077 - T 30, IT 14, TH 0, RC 12, SEX 35
aku mau liat alonso - T 0, IT 0, TH 0, RC 0, SEX 0
maret/april lupa aku - T 0, IT 1, TH 0, RC 1, SEX 0
test - T 30, IT 14, TH 0, RC 12, SEX 35
zeeeber - T 0, IT 0, TH 0, RC 4, SEX 1
buset - T 30, IT 14, TH 0, RC 12, SEX 35
nonton post season test aja/winter testing ntar - T 0, IT 0, TH 0, RC 1, SEX 0
sekarang test? - T 30, IT 14, TH 0, RC 12, SEX 35
_bog - T 30, IT 14, TH 0, RC 12, SEX 35
makan apa tuh - T 0, IT 0, TH 0, RC 0, SEX 0
kemaren udah post season test - T 8, IT 1, TH 0, RC 3, SEX 3
buat young drivernya - T 30, IT 23, TH 0, RC 0, SEX 1
saigan sebastian vettel siapa namanya lupa aku - T 0, IT 0, TH 0, RC 0, SEX 0
oalah yang itu - T 0, IT 1, TH 0, RC 1, SEX 0
lance $troll kh - T 3, IT 3, TH 0, RC 4, SEX 7
memekomikindonesia - T 30, IT 14, TH 0, RC 12, SEX 35
oh jahmiltong - T 30, IT 14, TH 0, RC 12, SEX 35
iyh - T 30, IT 14, TH 0, RC 12, SEX 35
info boy/girl band indo yg masih aktif - T 7, IT 1, TH 0, RC 2, SEX 7
hamillton - T 30, IT 14, TH 0, RC 12, SEX 35
welcome to the brad bank - T 13, IT 5, TH 0, RC 11, SEX 47
no ingfo - T 0, IT 0, TH 0, RC 0, SEX 2
we sell loafs - T 30, IT 14, TH 0, RC 12, SEX 35
hadeh masih di merc dia mah - T 0, IT 0, TH 0, RC 0, SEX 0
jkt46 - T 30, IT 14, TH 0, RC 12, SEX 35
fake brembot diam saja  - T 78, IT 18, TH 6, RC 7, SEX 18
ane mo balik dukung grup band lokal - T 1, IT 0, TH 1, RC 2, SEX 2
hamilton mercedes kan - T 66, IT 38, TH 1, RC 27, SEX 62
true - T 30, IT 14, TH 0, RC 12, SEX 35
ane dukung racing point - T 19, IT 7, TH 0, RC 12, SEX 14
memek - T 100, IT 98, TH 1, RC 5, SEX 99
bajunya keren pink pink - T 1, IT 1, TH 0, RC 6, SEX 5
aku tuh - T 1, IT 0, TH 0, RC 1, SEX 1
racing point jdi aston martin jir - T 30, IT 14, TH 0, RC 12, SEX 35
iya:xmaspepehehe: - T 30, IT 14, TH 0, RC 12, SEX 35
dukung alonso dong - T 15, IT 6, TH 1, RC 3, SEX 11
keren bajunya pink pink - T 1, IT 1, TH 0, RC 6, SEX 5
rossi - T 30, IT 14, TH 0, RC 12, SEX 35
ane mo pinjem - T 30, IT 14, TH 0, RC 12, SEX 35
kece - T 30, IT 14, TH 0, RC 12, SEX 35
rossi vs kimi siapa menang - T 1, IT 1, TH 0, RC 0, SEX 1
buat teror femboy - T 30, IT 23, TH 0, RC 0, SEX 1
welcome to the bread bank - T 13, IT 5, TH 0, RC 11, SEX 47
 draw - T 27, IT 4, TH 4, RC 15, SEX 5
we sell breadwe sell loafs - T 30, IT 14, TH 0, RC 12, SEX 35
pernah kan itu si rossi nyoba f1 - T 2, IT 5, TH 0, RC 6, SEX 0
rossi vs denis kancil epic scene - T 6, IT 2, TH 0, RC 3, SEX 7
sama sama hebat di karirnya masing masing - T 1, IT 0, TH 0, RC 0, SEX 1
pemain f1 nyona gp - T 23, IT 16, TH 0, RC 21, SEX 52
we got bread on the deck - T 12, IT 15, TH 0, RC 10, SEX 24
bread on the floor - T 12, IT 15, TH 0, RC 10, SEX 24
toasted roasted - T 30, IT 14, TH 0, RC 12, SEX 35
dari  - T 10, IT 0, TH 0, RC 1, SEX 9
total juara mv agusta sama total juara rossi banyakan mana - T 0, IT 0, TH 0, RC 0, SEX 0
 lorenzonya ditelen bumi coeg - T 91, IT 24, TH 75, RC 7, SEX 1
banyakan juara rossi di banding mv agusta - T 13, IT 2, TH 0, RC 2, SEX 12
di tusbol - T 0, IT 0, TH 0, RC 0, SEX 53
munyuk - T 30, IT 14, TH 0, RC 12, SEX 35
ditelen bumi:hadehhh: - T 30, IT 14, TH 0, RC 12, SEX 35
ane mo nyari ban soft compund harga di bawah 400k nggak nemu - T 0, IT 0, TH 0, RC 0, SEX 0
siapa suka ngocok - T 79, IT 1, TH 0, RC 1, SEX 100
mp76? - T 30, IT 14, TH 0, RC 12, SEX 35
dimana tuh - T 0, IT 0, TH 0, RC 1, SEX 1
mp40 bisa jamsut - T 80, IT 4, TH 0, RC 11, SEX 46
susah nyari segitu - T 0, IT 0, TH 0, RC 0, SEX 0
corsa r46 - T 30, IT 14, TH 0, RC 12, SEX 35
ngocok baik untuk kesehatan jantung dan imunitas jika ngocok pake 3d dan akan merusak tubuh dan imunitas apabila ngocok pake 2d - T 51, IT 0, TH 1, RC 0, SEX 93
paling dapet medium compund dari corsa - T 10, IT 1, TH 0, RC 1, SEX 36
r46? - T 30, IT 14, TH 0, RC 12, SEX 35
ane nyari yg 120/70 ban belakang - T 1, IT 2, TH 0, RC 3, SEX 2
yg r99 - T 11, IT 7, TH 0, RC 6, SEX 21
ane kira bahas ff - T 18, IT 6, TH 0, RC 14, SEX 14
ngocok baik untuk kesehatan jantung dan imunitas jika ngocok pake 3d dan akan merusak tubuh dan imunitas apabila ngocok pake 2d - T 51, IT 0, TH 1, RC 0, SEX 93
sorry aku delete aja, terlalu setre - T 5, IT 2, TH 0, RC 2, SEX 5
tru tuh ray - T 6, IT 2, TH 0, RC 9, SEX 7
bapak ane dah coba hasilnya enak buat cornering - T 1, IT 14, TH 0, RC 0, SEX 0
bermangsud afakh bang ray - T 0, IT 0, TH 0, RC 1, SEX 4
tapi harganya lagi naik - T 16, IT 3, TH 0, RC 0, SEX 1
ane bingung sekarang nyari penggantinya - T 3, IT 5, TH 0, RC 7, SEX 3
true naik - T 15, IT 9, TH 0, RC 7, SEX 20
 maksud aku adalah mesraan di dm yuk  - T 86, IT 0, TH 1, RC 0, SEX 17
ban ane botak - T 30, IT 14, TH 0, RC 12, SEX 35
no ingfo - T 0, IT 0, TH 0, RC 0, SEX 2
kena skem - T 3, IT 1, TH 1, RC 4, SEX 2
di tusbol ray - T 0, IT 0, TH 0, RC 0, SEX 53
sedang menunggu jam 11 malam - T 4, IT 4, TH 0, RC 3, SEX 1
udah nunggu bulu malah dikasih batang - T 97, IT 30, TH 0, RC 54, SEX 97
aku mah pap titit ga pernah ngescam, tanya aja david - T 0, IT 78, TH 0, RC 0, SEX 0
buat apaan sih pada nunggu jam gini - T 0, IT 3, TH 0, RC 0, SEX 0
buset - T 30, IT 14, TH 0, RC 12, SEX 35
!gws - T 30, IT 14, TH 0, RC 12, SEX 35
jawir - T 30, IT 14, TH 0, RC 12, SEX 35
jam 11 menten kato kelar kh - T 0, IT 0, TH 0, RC 1, SEX 0
ada game gratis cuy - T 1, IT 0, TH 0, RC 2, SEX 2
pake soft compound ga cepet abis tuh bannya? - T 1, IT 12, TH 0, RC 3, SEX 0
selama 15 hari - T 0, IT 0, TH 0, RC 4, SEX 1
egs kh - T 3, IT 3, TH 0, RC 4, SEX 7
jir murah amat - T 15, IT 65, TH 1, RC 1, SEX 7
mau ane - T 1, IT 2, TH 0, RC 1, SEX 3
otw beli - T 12, IT 6, TH 0, RC 0, SEX 0
bomat cepet abis yang penting racing - T 3, IT 7, TH 0, RC 6, SEX 16
cuman 300k - T 22, IT 40, TH 0, RC 13, SEX 24
tuh kata kebelt resing - T 7, IT 2, TH 0, RC 5, SEX 5
game apa - T 2, IT 2, TH 0, RC 1, SEX 20
true - T 30, IT 14, TH 0, RC 12, SEX 35
mystery - T 30, IT 14, TH 0, RC 12, SEX 35
gatau gweh - T 30, IT 14, TH 0, RC 12, SEX 35
ane buat trackday bukan buat harian - T 1, IT 0, TH 0, RC 2, SEX 0
rumor kek di foto - T 88, IT 65, TH 1, RC 0, SEX 53
hadegh - T 30, IT 14, TH 0, RC 12, SEX 35
mak aku kalo liat harga sepatu seukuran aku diatas 300k :sepatu apaan tuh mahal banget - T 0, IT 0, TH 0, RC 0, SEX 0
ok list:yoi: - T 8, IT 6, TH 0, RC 6, SEX 5
 tru sama - T 2, IT 0, TH 2, RC 4, SEX 0
adalah saya - T 20, IT 15, TH 0, RC 2, SEX 13
itu bisa di claim dulu kah? - T 4, IT 0, TH 0, RC 1, SEX 0
aku sih dibacotin wakaka - T 0, IT 2, TH 0, RC 0, SEX 2
aku tuh  - T 1, IT 0, TH 2, RC 2, SEX 0
mak aku kalo liat tas cakep dikit:cantik ni beli ah - T 7, IT 0, TH 0, RC 0, SEX 8
iya emg di claim cuy - T 6, IT 0, TH 1, RC 1, SEX 1
bisa - T 80, IT 4, TH 0, RC 11, SEX 46
maenin nya kapan kapan bisa - T 1, IT 16, TH 0, RC 6, SEX 1
ane beli ban soft buat track day aja kalo harian make medium - T 2, IT 21, TH 0, RC 0, SEX 0
gak punya pc/laptop - T 19, IT 17, TH 0, RC 2, SEX 0
